                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61135,                 0.4471,                0.98674,                0.93339,                0.90766,                0.93224,                0.80228,                0.67823,                0.50474,                0.96027,               0.000948,               0.000948,               0.000948
                     37,                 0.5911,                0.43447,                0.95538,                0.92434,                0.88342,                0.92816,                0.79527,                0.57598,                0.45876,                0.90958,             0.00093385,             0.00093385,             0.00093385
                     38,                0.57205,                0.45255,                 0.9582,                 0.9508,                0.91132,                0.95479,                0.83438,                0.55665,                0.39626,                0.88882,              0.0009197,              0.0009197,              0.0009197
                     39,                0.57468,                0.43338,                0.95476,                0.95373,                0.89683,                0.95787,                0.83344,                0.56098,                0.39233,                0.87657,             0.00090556,             0.00090556,             0.00090556
                     40,                0.58626,                 0.4312,                 0.9369,                0.92141,                0.96389,                0.96498,                0.84389,                0.54671,                0.37095,                0.87078,             0.00089141,             0.00089141,             0.00089141
                     41,                0.55675,                0.43621,                0.94845,                0.91608,                0.96601,                0.96017,                 0.8425,                0.59567,                0.37907,                0.90019,             0.00087726,             0.00087726,             0.00087726
                     42,                 0.5342,                0.42566,                0.92118,                0.98366,                0.91333,                 0.9749,                0.84242,                0.58401,                0.38711,                0.88941,             0.00086312,             0.00086312,             0.00086312
                     43,                0.55949,                0.41407,                0.93128,                0.98773,                0.91316,                0.96466,                0.84085,                0.57907,                0.35861,                0.89741,             0.00084897,             0.00084897,             0.00084897
                     44,                0.58493,                0.45471,                0.94807,                0.97489,                0.91729,                0.97112,                 0.8534,                0.54171,                0.34816,                0.87551,             0.00083482,             0.00083482,             0.00083482
                     45,                0.56542,                0.42401,                0.95497,                0.98712,                0.91151,                0.95759,                0.84542,                0.53385,                0.33666,                 0.8751,             0.00082067,             0.00082067,             0.00082067
                     46,                0.54253,                0.38741,                0.92029,                0.96353,                0.92063,                0.94017,                0.81182,                0.56607,                0.39625,                0.89017,             0.00080653,             0.00080653,             0.00080653
                     47,                0.54789,                0.40342,                0.93616,                0.98006,                0.92063,                0.95258,                0.84199,                0.60602,                0.39303,                0.91316,             0.00079238,             0.00079238,             0.00079238
                     48,                0.55793,                0.39403,                0.93777,                0.96609,                0.90408,                0.94452,                 0.8412,                0.53871,                0.38641,                 0.8791,             0.00077823,             0.00077823,             0.00077823
                     49,                0.52625,                0.39604,                0.92647,                0.98328,                0.91198,                0.95078,                0.83685,                0.55843,                0.35143,                 0.8786,             0.00076409,             0.00076409,             0.00076409
                     50,                0.56218,                0.41761,                 0.9403,                 0.9856,                0.90831,                0.95963,                0.86463,                0.50611,                0.34624,                0.85724,             0.00074994,             0.00074994,             0.00074994
                     51,                0.50989,                0.36304,                0.91819,                0.98606,                0.92519,                0.96317,                0.86519,                0.50644,                0.33492,                0.86249,             0.00073579,             0.00073579,             0.00073579
                     52,                0.54282,                0.38597,                0.93899,                0.98749,                0.92822,                 0.9633,                0.85464,                0.54042,                0.32732,                0.87231,             0.00072164,             0.00072164,             0.00072164
                     53,                0.54825,                0.40025,                0.93734,                0.98297,                0.92378,                0.96428,                0.84292,                0.55127,                0.33413,                0.86782,              0.0007075,              0.0007075,              0.0007075
                     54,                0.50596,                0.36319,                 0.9134,                0.99187,                0.90982,                0.97498,                0.86407,                0.51012,                0.33716,                0.86311,             0.00069335,             0.00069335,             0.00069335
                     55,                0.50944,                0.37535,                0.91846,                0.99179,                0.92063,                0.96436,                0.87393,                0.51005,                0.33378,                 0.8618,              0.0006792,              0.0006792,              0.0006792
                     56,                0.49182,                 0.3621,                0.92799,                0.98757,                0.92063,                 0.9703,                0.86444,                0.49952,                0.32143,                0.86122,             0.00066506,             0.00066506,             0.00066506
                     57,                0.48702,                0.34562,                 0.9222,                0.93166,                0.96272,                0.96667,                0.88252,                0.49859,                0.33909,                0.85919,             0.00065091,             0.00065091,             0.00065091
                     58,                0.46935,                0.34394,                0.91113,                0.97605,                0.90607,                 0.9641,                0.87141,                0.51548,                0.33279,                0.86464,             0.00063676,             0.00063676,             0.00063676
                     59,                0.48496,                0.34621,                 0.8979,                0.91178,                0.96529,                0.97024,                0.87533,                0.51511,                0.34346,                0.86537,             0.00062262,             0.00062262,             0.00062262
                     60,                0.50757,                0.38541,                 0.9327,                0.93871,                0.90724,                0.96101,                 0.8583,                0.54142,                0.34094,                0.87525,             0.00060847,             0.00060847,             0.00060847
                     61,                0.44413,                0.31779,                0.89891,                0.94223,                0.91617,                0.95316,                0.85491,                0.52304,                0.34381,                0.86894,             0.00059432,             0.00059432,             0.00059432
                     62,                0.46563,                0.35975,                 0.9116,                 0.9415,                0.92063,                0.95042,                 0.8605,                0.49461,                0.32242,                0.86129,             0.00058017,             0.00058017,             0.00058017
                     63,                0.49764,                0.36709,                0.92681,                0.93953,                0.91088,                  0.958,                0.85257,                0.47544,                0.32708,                0.85178,             0.00056603,             0.00056603,             0.00056603
                     64,                0.45953,                0.35107,                0.90887,                0.95516,                0.91698,                 0.9605,                0.85438,                 0.4899,                 0.3243,                0.85474,             0.00055188,             0.00055188,             0.00055188
                     65,                0.50419,                0.35009,                0.90113,                0.96301,                0.91307,                0.97651,                0.86515,                0.49338,                0.34355,                0.85378,             0.00053773,             0.00053773,             0.00053773
                     66,                0.48124,                0.33943,                0.93365,                 0.9425,                0.91916,                0.96283,                0.84391,                0.53264,                0.35436,                0.86874,             0.00052359,             0.00052359,             0.00052359
                     67,                0.49168,                0.34479,                0.91015,                0.93974,                0.92063,                 0.9657,                0.86407,                 0.4627,                 0.3128,                0.84658,             0.00050944,             0.00050944,             0.00050944
                     68,                0.46151,                0.34828,                0.91833,                0.93663,                0.92063,                0.95283,                0.85988,                0.47031,                  0.322,                0.84615,             0.00049529,             0.00049529,             0.00049529
                     69,                0.45667,                 0.3201,                0.88931,                0.93758,                0.92063,                0.96015,                0.85628,                0.48829,                 0.3245,                0.85481,             0.00048114,             0.00048114,             0.00048114
                     70,                0.46735,                0.32094,                0.92626,                0.94033,                0.92063,                0.95679,                0.86607,                0.50312,                0.31613,                0.85937,               0.000467,               0.000467,               0.000467
                     71,                0.44173,                0.31256,                0.91073,                0.95518,                0.91751,                0.96921,                0.86696,                0.49035,                 0.3185,                0.85687,             0.00045285,             0.00045285,             0.00045285
                     72,                0.45402,                0.31825,                0.89934,                0.94037,                0.92093,                0.96235,                0.86014,                0.56053,                0.33712,                0.87774,              0.0004387,              0.0004387,              0.0004387
                     73,                 0.4521,                0.31689,                0.90171,                0.93945,                0.92167,                0.95671,                0.86259,                0.53855,                0.33229,                0.87553,             0.00042456,             0.00042456,             0.00042456
                     74,                0.44435,                 0.3222,                0.88615,                0.94023,                0.92081,                0.95451,                0.87419,                0.52646,                0.31738,                0.86275,             0.00041041,             0.00041041,             0.00041041
                     75,                0.44035,                0.31773,                0.89456,                0.93729,                0.92369,                0.95572,                0.87632,                0.50249,                0.32107,                0.84926,             0.00039626,             0.00039626,             0.00039626
                     76,                0.44664,                0.33022,                0.91309,                0.90273,                0.99536,                0.97894,                0.86847,                0.51355,                0.31363,                0.85183,             0.00038211,             0.00038211,             0.00038211
                     77,                0.45334,                0.32433,                0.90926,                0.96169,                 0.9061,                0.98142,                0.87851,                0.50512,                0.29834,                0.84851,             0.00036797,             0.00036797,             0.00036797
                     78,                0.41409,                0.29375,                 0.8824,                0.95408,                0.90834,                0.98106,                0.88075,                0.50752,                0.30226,                0.85807,             0.00035382,             0.00035382,             0.00035382
                     79,                0.41747,                0.29884,                0.89637,                0.91285,                0.96996,                0.98161,                0.87942,                0.49653,                0.29586,                0.85462,             0.00033967,             0.00033967,             0.00033967
                     80,                0.43396,                0.30056,                 0.8881,                0.90082,                0.99806,                0.97504,                0.87146,                0.46805,                0.29343,                0.84215,             0.00032553,             0.00032553,             0.00032553
                     81,                0.43167,                0.30215,                0.89614,                0.90171,                0.99678,                0.97747,                0.87238,                0.49059,                0.29593,                0.84863,             0.00031138,             0.00031138,             0.00031138
                     82,                0.43576,                0.29863,                0.90239,                0.94263,                0.92077,                0.97489,                0.87749,                0.52818,                0.29287,                0.85937,             0.00029723,             0.00029723,             0.00029723
                     83,                0.41805,                0.28662,                0.87277,                0.95045,                0.92063,                0.96373,                0.87086,                0.50204,                0.29042,                0.85957,             0.00028308,             0.00028308,             0.00028308
                     84,                 0.4534,                0.30062,                0.89245,                0.95756,                0.92063,                0.96834,                0.86485,                0.50752,                0.30802,                0.85746,             0.00026894,             0.00026894,             0.00026894
                     85,                0.45427,                0.31083,                0.90505,                0.96466,                0.92063,                0.97648,                0.86991,                0.50332,                0.30397,                0.85718,             0.00025479,             0.00025479,             0.00025479
                     86,                0.39899,                0.29123,                0.88108,                0.97467,                0.92063,                 0.9797,                0.87403,                0.53591,                0.28382,                0.86158,             0.00024064,             0.00024064,             0.00024064
