                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6245,                0.50782,                0.97253,                0.89703,                0.75525,                0.80402,                0.61471,                 1.0122,                0.73252,                 1.0772,             0.00019375,             0.00019375,             0.00019375
                      2,                0.61155,                0.48137,                0.94996,                0.82755,                0.78029,                0.81087,                0.61757,                0.99012,                0.76403,                 1.0701,             0.00039336,             0.00039336,             0.00039336
                      3,                 0.6161,                0.47649,                 0.9463,                0.84742,                0.75918,                0.81405,                0.61114,                 1.0063,                0.75314,                 1.0955,             0.00059257,             0.00059257,             0.00059257
                      4,                0.61353,                0.47662,                 0.9468,                0.80509,                 0.8054,                0.83516,                0.63322,                0.99405,                0.74303,                 1.0786,             0.00062314,             0.00062314,             0.00062314
                      5,                0.60097,                0.45652,                0.94108,                0.83115,                0.79184,                0.84331,                0.63432,                0.98265,                0.73361,                 1.0617,             0.00062314,             0.00062314,             0.00062314
                      6,                0.61606,                0.45869,                0.94186,                0.89413,                0.76462,                0.84193,                0.62796,                0.98483,                0.73334,                 1.0623,             0.00062253,             0.00062253,             0.00062253
                      7,                0.59811,                0.45274,                0.94151,                0.88673,                0.78674,                0.85131,                0.64321,                0.96739,                0.69097,                 1.0583,             0.00062191,             0.00062191,             0.00062191
                      8,                0.60098,                 0.4435,                0.93398,                 0.8301,                0.82996,                0.85522,                0.63708,                0.97683,                0.68457,                 1.0542,             0.00062129,             0.00062129,             0.00062129
                      9,                0.59866,                0.44538,                0.93658,                 0.8343,                0.81917,                0.84436,                0.63621,                0.97146,                0.69334,                 1.0588,             0.00062067,             0.00062067,             0.00062067
                     10,                0.58968,                0.43243,                0.93387,                0.85282,                0.79488,                0.84496,                0.63901,                0.98063,                0.66613,                 1.0644,             0.00062005,             0.00062005,             0.00062005
                     11,                0.59383,                0.43314,                0.93284,                0.86242,                 0.7796,                0.84122,                0.62779,                0.98509,                0.69184,                 1.0666,             0.00061943,             0.00061943,             0.00061943
                     12,                0.58072,                0.42527,                0.92561,                0.82741,                0.81769,                0.84441,                0.63604,                0.97522,                0.68851,                 1.0621,             0.00061881,             0.00061881,             0.00061881
                     13,                0.57765,                 0.4215,                0.92846,                0.84991,                0.79353,                0.84165,                0.63599,                0.98873,                0.70283,                  1.079,             0.00061819,             0.00061819,             0.00061819
                     14,                0.58221,                0.43169,                 0.9266,                0.86791,                0.80178,                0.84929,                0.62717,                0.98574,                0.69868,                 1.0669,             0.00061757,             0.00061757,             0.00061757
                     15,                0.59152,                0.43821,                0.93786,                0.88614,                0.78382,                0.85297,                0.64259,                0.99189,                0.69569,                 1.0879,             0.00061696,             0.00061696,             0.00061696
                     16,                0.59619,                0.43854,                0.93291,                0.88201,                0.80583,                0.86014,                0.64473,                0.96292,                0.68187,                 1.0674,             0.00061634,             0.00061634,             0.00061634
                     17,                0.58688,                0.43356,                  0.931,                0.87238,                0.80467,                0.85828,                0.64506,                0.99273,                0.67486,                 1.0647,             0.00061572,             0.00061572,             0.00061572
                     18,                0.58415,                0.42449,                0.92614,                0.86248,                0.81709,                0.84871,                 0.6353,                0.97346,                 0.6961,                 1.0569,              0.0006151,              0.0006151,              0.0006151
                     19,                0.57966,                0.42732,                0.92802,                0.87877,                0.78646,                0.84448,                0.63938,                0.96922,                0.68015,                 1.0581,             0.00061448,             0.00061448,             0.00061448
                     20,                0.57854,                0.41529,                0.92306,                0.84351,                0.81534,                0.84809,                0.64082,                0.98475,                0.69199,                 1.0726,             0.00061386,             0.00061386,             0.00061386
                     21,                0.57265,                0.41107,                0.92086,                0.86528,                0.82737,                 0.8585,                 0.6387,                0.97254,                0.66052,                 1.0627,             0.00061324,             0.00061324,             0.00061324
                     22,                0.57893,                  0.411,                0.91777,                0.88488,                0.80311,                 0.8692,                0.64479,                0.97961,                0.70073,                 1.0709,             0.00061262,             0.00061262,             0.00061262
                     23,                0.57036,                0.41808,                0.92108,                 0.8373,                0.80944,                0.85211,                0.64149,                0.95787,                 0.6929,                 1.0478,             0.00061201,             0.00061201,             0.00061201
                     24,                 0.5544,                0.40771,                0.92088,                0.90323,                0.74797,                0.84911,                0.63417,                0.98579,                0.73726,                 1.0572,             0.00061139,             0.00061139,             0.00061139
                     25,                 0.5788,                0.41322,                0.91777,                0.86391,                0.77527,                0.83407,                0.62434,                0.98644,                0.72851,                 1.0782,             0.00061077,             0.00061077,             0.00061077
                     26,                 0.5703,                 0.4062,                0.91991,                0.84591,                0.82198,                0.84495,                0.63554,                0.99087,                0.71341,                 1.0798,             0.00061015,             0.00061015,             0.00061015
                     27,                0.56193,                 0.4077,                0.91454,                0.85421,                0.79607,                0.84953,                0.65297,                0.97693,                0.69825,                 1.0693,             0.00060953,             0.00060953,             0.00060953
                     28,                0.56207,                0.40665,                0.91755,                0.84565,                0.81406,                0.85939,                0.65436,                 0.9804,                 0.6717,                 1.0726,             0.00060891,             0.00060891,             0.00060891
                     29,                0.55653,                0.40389,                0.91796,                 0.8602,                0.81092,                0.85825,                0.64692,                0.97594,                 0.6648,                 1.0616,             0.00060829,             0.00060829,             0.00060829
                     30,                0.56435,                0.40506,                0.91672,                0.87183,                0.79399,                0.85498,                0.64778,                0.95216,                0.68356,                 1.0402,             0.00060768,             0.00060768,             0.00060768
                     31,                0.55703,                0.39995,                0.91495,                 0.8492,                0.81796,                0.85078,                0.63896,                0.97434,                0.68283,                 1.0623,             0.00060706,             0.00060706,             0.00060706
                     32,                0.55184,                0.39872,                0.91583,                0.86098,                0.81717,                0.85573,                0.63835,                 0.9966,                0.68907,                 1.0911,             0.00060644,             0.00060644,             0.00060644
                     33,                0.55196,                0.40064,                0.91499,                0.86273,                0.79216,                0.84371,                0.64192,                0.97664,                0.70473,                 1.0702,             0.00060582,             0.00060582,             0.00060582
                     34,                0.55296,                0.40507,                0.91449,                0.88561,                0.77431,                0.85749,                0.64091,                0.98973,                0.69975,                 1.0936,              0.0006052,              0.0006052,              0.0006052
                     35,                 0.5454,                0.39527,                0.91232,                0.83492,                0.80659,                0.84223,                0.63626,                0.99884,                0.71858,                 1.1047,             0.00060458,             0.00060458,             0.00060458
                     36,                0.55494,                0.39708,                0.91318,                0.86129,                 0.8072,                0.85899,                0.64664,                0.98621,                0.68328,                 1.0826,             0.00060396,             0.00060396,             0.00060396
                     37,                0.55449,                0.40098,                0.91534,                0.85784,                 0.8024,                0.84611,                0.63846,                0.97678,                0.67733,                 1.0709,             0.00060334,             0.00060334,             0.00060334
                     38,                0.55343,                 0.3995,                0.91615,                0.87224,                0.80415,                0.84957,                0.63616,                0.98378,                 0.6897,                   1.08,             0.00060273,             0.00060273,             0.00060273
                     39,                0.54821,                0.39557,                0.91473,                0.89027,                0.77765,                0.83766,                0.63072,                0.97307,                0.68674,                 1.0763,             0.00060211,             0.00060211,             0.00060211
                     40,                0.55213,                0.39467,                0.92088,                 0.8807,                0.79322,                0.84084,                0.64132,                0.98109,                0.70138,                 1.0696,             0.00060149,             0.00060149,             0.00060149
                     41,                0.56591,                0.41043,                0.91567,                0.87222,                0.79403,                0.84199,                0.63416,                0.97712,                0.68159,                 1.0753,             0.00060087,             0.00060087,             0.00060087
                     42,                0.54822,                0.39692,                0.91358,                0.85985,                0.80079,                0.84749,                0.64578,                0.98708,                0.66941,                 1.0933,             0.00060025,             0.00060025,             0.00060025
                     43,                0.54552,                0.38778,                0.91266,                0.87348,                0.79295,                0.84836,                 0.6416,                0.96983,                0.66137,                  1.073,             0.00059963,             0.00059963,             0.00059963
                     44,                0.53842,                0.38514,                0.91131,                0.87607,                0.79659,                 0.8549,                0.64757,                0.98344,                0.66246,                 1.0896,             0.00059901,             0.00059901,             0.00059901
                     45,                0.54381,                 0.3858,                0.91333,                0.87441,                0.79221,                0.84615,                0.64882,                 0.9703,                0.67914,                 1.0763,             0.00059839,             0.00059839,             0.00059839
                     46,                0.53659,                0.38749,                0.90432,                0.83407,                0.81172,                0.84723,                 0.6332,                0.99091,                0.68048,                 1.0805,             0.00059777,             0.00059777,             0.00059777
                     47,                0.55635,                0.38992,                0.90852,                0.88872,                0.79247,                0.85236,                0.64258,                0.97718,                0.68377,                 1.0691,             0.00059716,             0.00059716,             0.00059716
                     48,                 0.5385,                0.38714,                0.90888,                0.87436,                0.79903,                0.84814,                0.63669,                 0.9963,                0.69465,                 1.0945,             0.00059654,             0.00059654,             0.00059654
                     49,                0.54855,                0.38939,                 0.9086,                0.87337,                0.80235,                0.84622,                0.63056,                0.98428,                0.68615,                 1.0972,             0.00059592,             0.00059592,             0.00059592
