                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2051,                 2.6696,                 1.3075,                0.71596,                0.46188,                0.50818,                0.35344,                  1.137,                 2.4256,                 1.0826,             0.00019375,             0.00019375,             0.00019375
                      2,                0.94683,                 1.1762,                 1.0922,                0.77657,                0.53886,                0.63657,                0.44193,                 1.0914,                 1.3999,                  1.071,             0.00039336,             0.00039336,             0.00039336
                      3,                0.89608,                0.96425,                 1.0557,                0.74313,                0.64902,                0.69756,                0.49245,                 1.0749,                 1.1589,                 1.0519,             0.00059257,             0.00059257,             0.00059257
                      4,                0.86028,                0.89733,                 1.0382,                0.77909,                0.70264,                0.72994,                0.52214,                  1.094,                 1.0409,                 1.0779,             0.00062314,             0.00062314,             0.00062314
                      5,                0.81362,                0.80959,                 1.0178,                0.83301,                0.76376,                0.79294,                0.56103,                 1.0636,                0.94418,                 1.0598,             0.00062314,             0.00062314,             0.00062314
                      6,                0.81439,                0.75431,                 1.0152,                0.84846,                0.73874,                0.81559,                 0.5893,                 1.0517,                0.86923,                 1.0349,             0.00062253,             0.00062253,             0.00062253
                      7,                0.79354,                0.72563,                 1.0134,                0.79559,                 0.7956,                0.82471,                0.59376,                 1.0027,                0.85955,                 1.0269,             0.00062191,             0.00062191,             0.00062191
                      8,                0.78222,                 0.6829,                 1.0054,                 0.8424,                0.79542,                0.84359,                0.60107,                  1.018,                0.83373,                 1.0418,             0.00062129,             0.00062129,             0.00062129
                      9,                0.76366,                0.65664,                0.99913,                0.80259,                0.77327,                0.82271,                0.60589,                 1.0081,                0.80639,                   1.03,             0.00062067,             0.00062067,             0.00062067
                     10,                0.75874,                0.65149,                0.99896,                0.84268,                0.80756,                 0.8434,                0.61092,                 1.0089,                 0.7952,                 1.0231,             0.00062005,             0.00062005,             0.00062005
                     11,                0.75285,                0.64084,                0.98959,                0.85695,                0.80888,                0.84697,                0.61339,                 1.0088,                0.81228,                 1.0249,             0.00061943,             0.00061943,             0.00061943
                     12,                0.75307,                0.62272,                0.98391,                0.86448,                0.76245,                0.83077,                0.60908,                 1.0108,                0.81786,                 1.0223,             0.00061881,             0.00061881,             0.00061881
                     13,                0.72241,                0.60377,                0.97634,                0.84442,                0.76845,                0.82389,                0.60948,                0.97852,                0.78106,                0.98946,             0.00061819,             0.00061819,             0.00061819
                     14,                0.73842,                0.61356,                0.98161,                0.85335,                0.78886,                 0.8405,                0.61736,                0.99058,                0.81865,                 1.0066,             0.00061757,             0.00061757,             0.00061757
                     15,                0.73852,                0.60856,                0.98719,                0.84759,                0.81926,                0.84939,                0.62797,                0.98834,                0.78881,                 1.0135,             0.00061696,             0.00061696,             0.00061696
                     16,                 0.7319,                0.59283,                0.97647,                0.82703,                0.82636,                0.85611,                0.62748,                 0.9754,                0.77287,                 1.0022,             0.00061634,             0.00061634,             0.00061634
                     17,                0.71952,                0.58566,                0.97247,                0.83827,                0.82749,                0.84996,                0.62115,                0.96618,                0.78872,                 1.0049,             0.00061572,             0.00061572,             0.00061572
                     18,                0.72473,                0.59086,                0.97354,                0.79345,                0.82857,                 0.8378,                0.61888,                 0.9669,                 0.8077,                 1.0022,              0.0006151,              0.0006151,              0.0006151
                     19,                0.71391,                0.59433,                0.97462,                0.87221,                0.81081,                0.84886,                0.62632,                0.98066,                0.77262,                 1.0223,             0.00061448,             0.00061448,             0.00061448
                     20,                0.70168,                0.56542,                0.96659,                 0.8185,                0.81496,                0.84921,                0.63658,                0.95578,                0.75721,                 1.0071,             0.00061386,             0.00061386,             0.00061386
                     21,                0.69867,                 0.5559,                0.96094,                0.80756,                0.85246,                0.85916,                0.63742,                0.99379,                0.73746,                 1.0347,             0.00061324,             0.00061324,             0.00061324
                     22,                0.70092,                0.55197,                0.95812,                0.85505,                0.83401,                0.86838,                0.65959,                0.96003,                0.73511,                 1.0099,             0.00061262,             0.00061262,             0.00061262
                     23,                0.69328,                0.54832,                0.96126,                0.87158,                0.81395,                0.85604,                0.63589,                0.97883,                0.77414,                 1.0205,             0.00061201,             0.00061201,             0.00061201
                     24,                0.68122,                 0.5318,                0.96603,                0.86538,                0.80554,                0.86033,                0.63472,                0.98122,                0.78039,                 1.0132,             0.00061139,             0.00061139,             0.00061139
                     25,                0.70426,                0.54558,                0.95834,                0.86027,                0.82654,                0.87147,                0.64223,                0.96615,                0.74382,                 1.0081,             0.00061077,             0.00061077,             0.00061077
                     26,                0.69208,                0.53401,                0.96082,                0.83407,                0.82675,                0.85981,                0.64315,                0.97208,                0.75715,                 1.0098,             0.00061015,             0.00061015,             0.00061015
                     27,                 0.6705,                0.52329,                0.95096,                0.82203,                 0.8419,                0.86502,                0.64903,                0.95751,                0.72512,                 1.0106,             0.00060953,             0.00060953,             0.00060953
                     28,                0.67341,                0.52486,                0.95724,                0.84631,                0.86537,                0.87779,                0.64634,                0.95201,                0.71713,                 1.0052,             0.00060891,             0.00060891,             0.00060891
                     29,                0.67972,                0.53089,                0.96148,                0.89586,                 0.8288,                0.86968,                0.64309,                0.97072,                0.74343,                 1.0015,             0.00060829,             0.00060829,             0.00060829
                     30,                 0.6702,                0.51056,                0.94824,                0.84268,                0.84004,                0.86042,                0.64704,                0.96204,                0.72046,                 1.0007,             0.00060768,             0.00060768,             0.00060768
                     31,                0.65681,                0.51117,                0.94361,                0.87241,                0.82236,                0.86776,                0.64851,                0.95481,                0.73829,                 1.0036,             0.00060706,             0.00060706,             0.00060706
                     32,                0.66815,                0.52336,                0.95317,                0.91124,                0.79632,                0.86271,                0.63973,                0.96879,                0.75825,                 1.0264,             0.00060644,             0.00060644,             0.00060644
                     33,                0.66119,                 0.5194,                0.95473,                0.85126,                0.82929,                0.86564,                0.64464,                0.96731,                0.73199,                 1.0101,             0.00060582,             0.00060582,             0.00060582
                     34,                0.65321,                0.51691,                0.94451,                0.83323,                0.84393,                0.86249,                0.64529,                0.97344,                0.75925,                 1.0196,              0.0006052,              0.0006052,              0.0006052
                     35,                 0.6553,                0.50561,                0.94604,                0.83944,                0.82794,                0.85244,                0.63887,                0.95194,                0.73181,                 1.0032,             0.00060458,             0.00060458,             0.00060458
                     36,                0.65014,                0.49358,                0.94141,                0.85297,                0.82819,                0.86802,                0.64477,                0.97233,                0.75829,                 1.0138,             0.00060396,             0.00060396,             0.00060396
                     37,                0.66165,                0.50502,                0.94529,                0.83641,                0.84519,                0.85727,                0.62243,                0.96577,                0.72056,                  1.019,             0.00060334,             0.00060334,             0.00060334
                     38,                0.66415,                0.50715,                0.94651,                0.85432,                0.83606,                 0.8575,                0.62941,                 0.9644,                0.68573,                 1.0138,             0.00060273,             0.00060273,             0.00060273
                     39,                0.65667,                0.50761,                0.95036,                0.85249,                0.83933,                0.88568,                0.64609,                0.96135,                0.70246,                 1.0081,             0.00060211,             0.00060211,             0.00060211
                     40,                 0.6495,                0.49543,                0.95086,                0.85387,                0.81764,                0.86908,                0.63876,                0.96914,                0.74334,                 1.0192,             0.00060149,             0.00060149,             0.00060149
                     41,                0.67099,                0.49975,                0.94921,                 0.8689,                0.81902,                0.88066,                0.64671,                0.97085,                0.69545,                 1.0279,             0.00060087,             0.00060087,             0.00060087
                     42,                0.65678,                0.51059,                0.94486,                0.88194,                0.79935,                0.86547,                 0.6428,                 0.9466,                0.73924,                 1.0065,             0.00060025,             0.00060025,             0.00060025
                     43,                0.64069,                0.48404,                0.94066,                 0.8665,                0.81208,                0.86869,                0.65027,                0.94026,                0.72098,                0.99973,             0.00059963,             0.00059963,             0.00059963
                     44,                0.63225,                0.47834,                0.93999,                0.83016,                 0.8469,                0.86612,                0.63291,                0.96386,                0.74504,                 1.0052,             0.00059901,             0.00059901,             0.00059901
                     45,                0.63361,                0.48035,                0.93429,                0.80927,                0.87452,                0.87388,                0.65727,                0.93221,                0.72524,                0.98937,             0.00059839,             0.00059839,             0.00059839
                     46,                0.62693,                0.47376,                0.92961,                0.84378,                 0.8209,                 0.8705,                0.64859,                0.95013,                0.73576,                 1.0034,             0.00059777,             0.00059777,             0.00059777
                     47,                0.63883,                0.46892,                0.92995,                 0.8171,                0.86238,                0.87325,                 0.6632,                0.94494,                 0.7099,                 1.0021,             0.00059716,             0.00059716,             0.00059716
                     48,                0.63289,                0.47494,                0.93443,                0.85778,                0.81928,                  0.875,                0.65762,                 0.9474,                0.69395,                0.99724,             0.00059654,             0.00059654,             0.00059654
                     49,                 0.6363,                 0.4704,                0.93564,                 0.8257,                0.85583,                0.86993,                0.66142,                0.93904,                0.69398,                0.98863,             0.00059592,             0.00059592,             0.00059592
                     50,                0.62826,                0.47533,                0.93578,                0.84296,                0.84016,                0.86719,                 0.6576,                0.92829,                0.71936,                0.98752,              0.0005953,              0.0005953,              0.0005953
